Tanggal,Provinsi,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
1/13/2021,Yogyakarta,0,0
1/14/2021,Yogyakarta,0.872,0.872
1/15/2021,Yogyakarta,1.164,0.292
1/16/2021,Yogyakarta,1.476,0.312
1/18/2021,Yogyakarta,3.358,1.882
1/19/2021,Yogyakarta,4.815,1.457
1/20/2021,Yogyakarta,6.109,1.294
1/21/2021,Yogyakarta,7.276,1.167
1/22/2021,Yogyakarta,7.837,0.561
1/23/2021,Yogyakarta,8.449,0.612
1/24/2021,Yogyakarta,8.658,0.209
1/25/2021,Yogyakarta,10.051,1.393
1/26/2021,Yogyakarta,11.492,1.441
1/27/2021,Yogyakarta,13.281,1.789
1/28/2021,Yogyakarta,17.134,3.853
1/29/2021,Yogyakarta,18.125,0.991
1/30/2021,Yogyakarta,18.774,0.649
1/31/2021,Yogyakarta,18.824,0.05
2/1/2021,Yogyakarta,20.906,2.082
2/2/2021,Yogyakarta,23.442,2.536
2/3/2021,Yogyakarta,25.844,2.402
2/4/2021,Yogyakarta,27.896,2.052
2/5/2021,Yogyakarta,29.23,1.334
2/6/2021,Yogyakarta,30.359,1.129
2/7/2021,Yogyakarta,30.399,0.04
2/8/2021,Yogyakarta,31.008,0.609
2/9/2021,Yogyakarta,31.429,0.421
2/10/2021,Yogyakarta,31.853,0.424
2/11/2021,Yogyakarta,32.501,0.648
2/12/2021,Yogyakarta,32.502,0.001
2/13/2021,Yogyakarta,32.985,0.483
2/14/2021,Yogyakarta,32.989,0.004
2/15/2021,Yogyakarta,33.216,0.227
2/16/2021,Yogyakarta,33.451,0.235
2/17/2021,Yogyakarta,33.632,0.181
2/18/2021,Yogyakarta,33.902,0.27
2/19/2021,Yogyakarta,34.047,0.145
2/20/2021,Yogyakarta,35.006,0.959
2/21/2021,Yogyakarta,35.006,0
2/22/2021,Yogyakarta,35.448,0.442
2/23/2021,Yogyakarta,35.653,0.205
2/24/2021,Yogyakarta,35.785,0.132
2/25/2021,Yogyakarta,35.917,0.132
2/26/2021,Yogyakarta,35.995,0.078
2/27/2021,Yogyakarta,36.278,0.283
2/28/2021,Yogyakarta,36.508,0.23
3/1/2021,Yogyakarta,39.082,2.574
3/2/2021,Yogyakarta,43.241,4.159
3/3/2021,Yogyakarta,49.645,6.404
3/4/2021,Yogyakarta,58.936,9.291
3/5/2021,Yogyakarta,65.427,6.491
3/6/2021,Yogyakarta,71.154,5.727
3/7/2021,Yogyakarta,71.33,0.176
3/8/2021,Yogyakarta,76.067,4.737
3/9/2021,Yogyakarta,83.681,7.614
3/10/2021,Yogyakarta,93.025,9.344
3/11/2021,Yogyakarta,93.183,0.158
3/12/2021,Yogyakarta,97.184,4.001
3/13/2021,Yogyakarta,101.691,4.507
3/14/2021,Yogyakarta,101.906,0.215
3/15/2021,Yogyakarta,109.644,7.738
3/16/2021,Yogyakarta,119.356,9.712
3/17/2021,Yogyakarta,127.882,8.526
3/18/2021,Yogyakarta,137.574,9.692
3/19/2021,Yogyakarta,143.089,5.515
3/20/2021,Yogyakarta,146.973,3.884
3/21/2021,Yogyakarta,148.333,1.36
3/22/2021,Yogyakarta,155.291,6.958
3/23/2021,Yogyakarta,162.72,7.429
3/24/2021,Yogyakarta,170.051,7.331
3/25/2021,Yogyakarta,180.248,10.197
3/26/2021,Yogyakarta,187.839,7.591
3/27/2021,Yogyakarta,197.674,9.835
3/28/2021,Yogyakarta,200.768,3.094
3/29/2021,Yogyakarta,209.41,8.642
3/30/2021,Yogyakarta,219.58,10.17
3/31/2021,Yogyakarta,226.007,6.427
4/1/2021,Yogyakarta,233.687,7.68
4/2/2021,Yogyakarta,234.408,0.721
4/3/2021,Yogyakarta,235.929,1.521
4/4/2021,Yogyakarta,235.929,0
4/5/2021,Yogyakarta,240.884,4.955
4/6/2021,Yogyakarta,249.891,9.007
4/7/2021,Yogyakarta,259.389,9.498
4/8/2021,Yogyakarta,269.281,9.892
4/9/2021,Yogyakarta,275.922,6.641
4/10/2021,Yogyakarta,279.149,3.227
4/11/2021,Yogyakarta,279.16,0.011
4/12/2021,Yogyakarta,284.879,5.719
4/13/2021,Yogyakarta,287.668,2.789
4/14/2021,Yogyakarta,290.086,2.418
4/15/2021,Yogyakarta,294.239,4.153
4/16/2021,Yogyakarta,295.629,1.39
4/17/2021,Yogyakarta,298.397,2.768
4/18/2021,Yogyakarta,298.419,0.022
4/19/2021,Yogyakarta,302.098,3.679
4/20/2021,Yogyakarta,310.059,7.961
4/21/2021,Yogyakarta,317.658,7.599
4/22/2021,Yogyakarta,327.108,9.45
4/23/2021,Yogyakarta,330.912,3.804
4/24/2021,Yogyakarta,335.869,4.957
4/25/2021,Yogyakarta,335.894,0.025
4/26/2021,Yogyakarta,341.316,5.422
4/27/2021,Yogyakarta,347.233,5.917
4/28/2021,Yogyakarta,352.435,5.202
4/29/2021,Yogyakarta,359.43,6.995
4/30/2021,Yogyakarta,363.712,4.282
5/1/2021,Yogyakarta,363.782,0.07
5/2/2021,Yogyakarta,364.181,0.399
5/3/2021,Yogyakarta,367.191,3.01
5/4/2021,Yogyakarta,372.476,5.285
5/5/2021,Yogyakarta,378.457,5.981
5/6/2021,Yogyakarta,384.247,5.79
5/7/2021,Yogyakarta,387.256,3.009
5/8/2021,Yogyakarta,391.678,4.422
5/9/2021,Yogyakarta,392.463,0.785
5/10/2021,Yogyakarta,395.899,3.436
5/11/2021,Yogyakarta,397.853,1.954
5/12/2021,Yogyakarta,398.093,0.24
5/13/2021,Yogyakarta,398.093,0
5/14/2021,Yogyakarta,398.093,0
5/15/2021,Yogyakarta,398.12,0.027
5/16/2021,Yogyakarta,398.133,0.013
5/17/2021,Yogyakarta,399.38,1.247
5/18/2021,Yogyakarta,401.897,2.517
5/19/2021,Yogyakarta,405.137,3.24
5/20/2021,Yogyakarta,408.42,3.283
5/21/2021,Yogyakarta,410.223,1.803
5/22/2021,Yogyakarta,412.251,2.028
5/23/2021,Yogyakarta,414.17,1.919
5/24/2021,Yogyakarta,417.719,3.549
5/25/2021,Yogyakarta,422.017,4.298
5/26/2021,Yogyakarta,422.046,0.029
5/27/2021,Yogyakarta,427.62,5.574
5/28/2021,Yogyakarta,429.187,1.567
5/29/2021,Yogyakarta,432.222,3.035
5/30/2021,Yogyakarta,434.46,2.238
5/31/2021,Yogyakarta,438.224,3.764
6/1/2021,Yogyakarta,438.23,0.006
6/2/2021,Yogyakarta,440.763,2.533
6/3/2021,Yogyakarta,446.971,6.208
6/4/2021,Yogyakarta,450.217,3.246
6/5/2021,Yogyakarta,452.494,2.277
6/6/2021,Yogyakarta,452.527,0.033
6/7/2021,Yogyakarta,458.505,5.978
6/8/2021,Yogyakarta,467.082,8.577
6/9/2021,Yogyakarta,477.913,10.831
6/10/2021,Yogyakarta,490.994,13.081
6/11/2021,Yogyakarta,497.797,6.803
6/12/2021,Yogyakarta,506.544,8.747
6/13/2021,Yogyakarta,506.995,0.451
6/14/2021,Yogyakarta,519.266,12.271
6/15/2021,Yogyakarta,534.632,15.366
6/16/2021,Yogyakarta,551.319,16.687
6/17/2021,Yogyakarta,568.692,17.373
6/18/2021,Yogyakarta,578.816,10.124
6/19/2021,Yogyakarta,589.801,10.985
6/20/2021,Yogyakarta,596.874,7.073
6/21/2021,Yogyakarta,615.289,18.415
6/22/2021,Yogyakarta,637.017,21.728
6/23/2021,Yogyakarta,665.129,28.112
6/24/2021,Yogyakarta,691.67,26.541
6/25/2021,Yogyakarta,705.867,14.197
6/26/2021,Yogyakarta,732.094,26.227
6/27/2021,Yogyakarta,735.23,3.136
6/28/2021,Yogyakarta,752.206,16.976
6/29/2021,Yogyakarta,772.137,19.931
6/30/2021,Yogyakarta,790.038,17.901
7/1/2021,Yogyakarta,802.598,12.56
7/2/2021,Yogyakarta,808.686,6.088
7/3/2021,Yogyakarta,815.587,6.901
7/4/2021,Yogyakarta,817.005,1.418
7/5/2021,Yogyakarta,830.64,13.635
7/6/2021,Yogyakarta,847.759,17.119
7/7/2021,Yogyakarta,866.233,18.474
7/8/2021,Yogyakarta,884.757,18.524
7/9/2021,Yogyakarta,894.238,9.481
7/10/2021,Yogyakarta,903.215,8.977
7/11/2021,Yogyakarta,905.113,1.898
7/12/2021,Yogyakarta,920.171,15.058
7/13/2021,Yogyakarta,939.486,19.315
7/14/2021,Yogyakarta,957.982,18.496
7/15/2021,Yogyakarta,980.102,22.12
7/16/2021,Yogyakarta,989.59,9.488
7/17/2021,Yogyakarta,999.639,10.049
7/18/2021,Yogyakarta,1002.194,2.555
7/19/2021,Yogyakarta,1013.135,10.941
7/20/2021,Yogyakarta,1013.664,0.529
7/21/2021,Yogyakarta,1029.641,15.977
7/22/2021,Yogyakarta,1049.279,19.638
7/23/2021,Yogyakarta,1059.06,9.781
7/24/2021,Yogyakarta,1070.997,11.937
7/25/2021,Yogyakarta,1076.231,5.234
7/26/2021,Yogyakarta,1097.075,20.844
7/27/2021,Yogyakarta,1119.504,22.429
7/28/2021,Yogyakarta,1144.012,24.508
7/29/2021,Yogyakarta,1168.213,24.201
7/30/2021,Yogyakarta,1177.391,9.178
7/31/2021,Yogyakarta,1189.905,12.514
8/1/2021,Yogyakarta,1194.75,4.845
8/2/2021,Yogyakarta,1206.031,11.281
8/3/2021,Yogyakarta,1219.215,13.184
8/4/2021,Yogyakarta,1231.975,12.76
8/5/2021,Yogyakarta,1248.24,16.265
8/6/2021,Yogyakarta,1257.968,9.728
8/7/2021,Yogyakarta,1269.467,11.499
8/8/2021,Yogyakarta,1274.681,5.214
8/9/2021,Yogyakarta,1288.727,14.046
8/10/2021,Yogyakarta,1297.688,8.961
8/11/2021,Yogyakarta,1300.048,2.36
8/12/2021,Yogyakarta,1316.913,16.865
8/13/2021,Yogyakarta,1328.742,11.829
8/14/2021,Yogyakarta,1342.518,13.776
8/15/2021,Yogyakarta,1344.461,1.943
8/16/2021,Yogyakarta,1359.832,15.371
8/17/2021,Yogyakarta,1365.533,5.701
8/18/2021,Yogyakarta,1386.461,20.928
8/19/2021,Yogyakarta,1409.351,22.89
8/20/2021,Yogyakarta,1420.928,11.577
8/21/2021,Yogyakarta,1444.496,23.568
8/22/2021,Yogyakarta,1451.295,6.799
8/23/2021,Yogyakarta,1469.287,17.992
8/24/2021,Yogyakarta,1491.422,22.135
8/25/2021,Yogyakarta,1523.128,31.706
8/26/2021,Yogyakarta,1557.282,34.154
8/27/2021,Yogyakarta,1584.536,27.254
8/28/2021,Yogyakarta,1619.487,34.951
8/29/2021,Yogyakarta,1630.454,10.967
8/30/2021,Yogyakarta,1655.359,24.905
8/31/2021,Yogyakarta,1683.806,28.447
9/1/2021,Yogyakarta,1712.811,29.005
9/2/2021,Yogyakarta,1745.109,32.298
9/3/2021,Yogyakarta,1770.01,24.901
9/4/2021,Yogyakarta,1800.256,30.246
9/5/2021,Yogyakarta,1812.393,12.137
9/6/2021,Yogyakarta,1842.424,30.031
9/7/2021,Yogyakarta,1879.748,37.324
9/8/2021,Yogyakarta,1915.475,35.727
9/9/2021,Yogyakarta,1956.237,40.762
9/10/2021,Yogyakarta,1977.67,21.433
9/11/2021,Yogyakarta,2006.397,28.727
9/12/2021,Yogyakarta,2014.573,8.176
9/13/2021,Yogyakarta,2044.129,29.556
9/14/2021,Yogyakarta,2079.136,35.007
9/15/2021,Yogyakarta,2108.854,29.718
9/16/2021,Yogyakarta,2145.396,36.542
9/17/2021,Yogyakarta,2170.454,25.058
9/18/2021,Yogyakarta,2204.924,34.47
9/19/2021,Yogyakarta,2210.921,5.997
9/20/2021,Yogyakarta,2232.874,21.953
9/21/2021,Yogyakarta,2252.372,19.498
9/22/2021,Yogyakarta,2279.679,27.307
9/23/2021,Yogyakarta,2307.022,27.343
9/24/2021,Yogyakarta,2318.046,11.024
9/25/2021,Yogyakarta,2336.961,18.915
9/26/2021,Yogyakarta,2344.484,7.523
9/27/2021,Yogyakarta,2356.085,11.601
9/28/2021,Yogyakarta,2373.987,17.902
9/29/2021,Yogyakarta,2396.187,22.2
9/30/2021,Yogyakarta,2414.758,18.571
10/1/2021,Yogyakarta,2421.117,6.359
10/2/2021,Yogyakarta,2436.866,15.749
10/3/2021,Yogyakarta,2441.287,4.421
10/4/2021,Yogyakarta,2454.907,13.62
10/5/2021,Yogyakarta,2468.15,13.243
10/6/2021,Yogyakarta,2487.393,19.243
10/7/2021,Yogyakarta,2501.085,13.692
10/8/2021,Yogyakarta,2509.03,7.945
10/9/2021,Yogyakarta,2526.898,17.868
10/10/2021,Yogyakarta,2530.502,3.604
10/11/2021,Yogyakarta,2537.682,7.18
10/12/2021,Yogyakarta,2551.318,13.636
10/13/2021,Yogyakarta,2562.807,11.489
10/14/2021,Yogyakarta,2570.111,7.304
10/15/2021,Yogyakarta,2576.97,6.859
10/16/2021,Yogyakarta,2586.694,9.724
10/17/2021,Yogyakarta,2589.273,2.579
10/18/2021,Yogyakarta,2601.017,11.744
10/19/2021,Yogyakarta,2607.847,6.83
10/20/2021,Yogyakarta,2611.577,3.73
10/21/2021,Yogyakarta,2620.302,8.725000000
10/22/2021,Yogyakarta,2626.712,6.41
10/23/2021,Yogyakarta,2636.788,10.076
10/24/2021,Yogyakarta,2640.987,4.199
10/25/2021,Yogyakarta,2648.951,7.964000000
10/26/2021,Yogyakarta,2657.675,8.724
10/27/2021,Yogyakarta,2666.299,8.624
10/28/2021,Yogyakarta,2674.121,7.822
10/29/2021,Yogyakarta,2677.883,3.762
10/30/2021,Yogyakarta,2684.928,7.045
10/31/2021,Yogyakarta,2687.075,2.147
11/1/2021,Yogyakarta,2692.982,5.907
11/2/2021,Yogyakarta,2698.561,5.579
11/3/2021,Yogyakarta,2704.038,5.477
11/4/2021,Yogyakarta,2711.273,7.235
11/5/2021,Yogyakarta,2714.719,3.446
11/6/2021,Yogyakarta,2719.412,4.693
11/7/2021,Yogyakarta,2721.245,1.833
11/8/2021,Yogyakarta,2726.125,4.88
11/9/2021,Yogyakarta,2730.626,4.501
11/10/2021,Yogyakarta,2734.776,4.15
11/11/2021,Yogyakarta,2740.875,6.099
11/12/2021,Yogyakarta,2743.339,2.464
11/13/2021,Yogyakarta,2748.377,5.038
11/14/2021,Yogyakarta,2749.924,1.547
11/15/2021,Yogyakarta,2753.381,3.457
11/16/2021,Yogyakarta,2758.305,4.924
11/17/2021,Yogyakarta,2763.156,4.851
11/18/2021,Yogyakarta,2766.633,3.477
11/19/2021,Yogyakarta,2768.462,1.829
11/20/2021,Yogyakarta,2770.572,2.11
11/21/2021,Yogyakarta,2772.272,1.7
11/22/2021,Yogyakarta,2775.247,2.975
11/23/2021,Yogyakarta,2779.315,4.068
11/24/2021,Yogyakarta,2781.997,2.682
11/25/2021,Yogyakarta,2786.501,4.504
11/26/2021,Yogyakarta,2787.888,1.387
11/27/2021,Yogyakarta,2790.477,2.589
11/28/2021,Yogyakarta,2791.028,0.551
11/29/2021,Yogyakarta,2794.37,3.342
11/30/2021,Yogyakarta,2796.333,1.963
12/1/2021,Yogyakarta,2798.481,2.148
12/2/2021,Yogyakarta,2800.876,2.395
12/3/2021,Yogyakarta,2802.044,1.168
12/4/2021,Yogyakarta,2803.139,1.095
12/5/2021,Yogyakarta,2803.337,0.198
12/6/2021,Yogyakarta,2804.767,1.43
12/7/2021,Yogyakarta,2806.775,2.008
12/8/2021,Yogyakarta,2809.012,2.237
12/9/2021,Yogyakarta,2812.063,3.051
12/10/2021,Yogyakarta,2813.653,1.59
12/11/2021,Yogyakarta,2814.867,1.214
12/12/2021,Yogyakarta,2815.636,0.769
12/13/2021,Yogyakarta,2816.051,0.415
1/13/2021,Sumatera Utara,0.001,0.001
1/14/2021,Sumatera Utara,0.102,0.101
1/15/2021,Sumatera Utara,0.303,0.201
1/16/2021,Sumatera Utara,0.393,0.09
1/17/2021,Sumatera Utara,0.401,0.008
1/18/2021,Sumatera Utara,0.821,0.42
1/19/2021,Sumatera Utara,1.361,0.54
1/20/2021,Sumatera Utara,2.595,1.234
1/21/2021,Sumatera Utara,3.879,1.284
1/22/2021,Sumatera Utara,5.26,1.381
1/23/2021,Sumatera Utara,5.951,0.691
1/24/2021,Sumatera Utara,6.002,0.051
1/25/2021,Sumatera Utara,7.414,1.412
1/26/2021,Sumatera Utara,8.182,0.768
1/27/2021,Sumatera Utara,9.115,0.933
1/28/2021,Sumatera Utara,10.178,1.063
1/29/2021,Sumatera Utara,11.074,0.896
1/30/2021,Sumatera Utara,11.448,0.374
1/31/2021,Sumatera Utara,11.486,0.038
2/1/2021,Sumatera Utara,12.88,1.394
2/2/2021,Sumatera Utara,13.783,0.903
2/3/2021,Sumatera Utara,15.385,1.602
2/4/2021,Sumatera Utara,18.477,3.092
2/5/2021,Sumatera Utara,21.997,3.52
2/6/2021,Sumatera Utara,24.995,2.998
2/7/2021,Sumatera Utara,25.358,0.363
2/8/2021,Sumatera Utara,29.319,3.961
2/9/2021,Sumatera Utara,34.054,4.735
2/10/2021,Sumatera Utara,40.597,6.543
2/11/2021,Sumatera Utara,45.479,4.882
2/12/2021,Sumatera Utara,45.944,0.465
2/13/2021,Sumatera Utara,47.443,1.499
2/14/2021,Sumatera Utara,47.909,0.466
2/15/2021,Sumatera Utara,50.927,3.018
2/16/2021,Sumatera Utara,54.26,3.333
2/17/2021,Sumatera Utara,57.571,3.311
2/18/2021,Sumatera Utara,60.248,2.677
2/19/2021,Sumatera Utara,62.278,2.03
2/20/2021,Sumatera Utara,63.011,0.733
2/21/2021,Sumatera Utara,63.035,0.024
2/22/2021,Sumatera Utara,64.878,1.843
2/23/2021,Sumatera Utara,66.131,1.253
2/24/2021,Sumatera Utara,67.705,1.574
2/25/2021,Sumatera Utara,68.543,0.838
2/26/2021,Sumatera Utara,68.971,0.428
2/27/2021,Sumatera Utara,69.639,0.668
2/28/2021,Sumatera Utara,69.682,0.043
3/1/2021,Sumatera Utara,70.604,0.922
3/2/2021,Sumatera Utara,71.775,1.171
3/3/2021,Sumatera Utara,75.273,3.498
3/4/2021,Sumatera Utara,81.031,5.758
3/5/2021,Sumatera Utara,88.166,7.135
3/6/2021,Sumatera Utara,90.757,2.591
3/7/2021,Sumatera Utara,91.286,0.529
3/8/2021,Sumatera Utara,99.264,7.978
3/9/2021,Sumatera Utara,107.962,8.698
3/10/2021,Sumatera Utara,119.558,11.596
3/11/2021,Sumatera Utara,120.602,1.044
3/12/2021,Sumatera Utara,128.998,8.396
3/13/2021,Sumatera Utara,133.13,4.132
3/14/2021,Sumatera Utara,133.369,0.239
3/15/2021,Sumatera Utara,142.077,8.708000000
3/16/2021,Sumatera Utara,150.952,8.875000000
3/17/2021,Sumatera Utara,160.343,9.391000000
3/18/2021,Sumatera Utara,171.069,10.726
3/19/2021,Sumatera Utara,179.398,8.329
3/20/2021,Sumatera Utara,183.347,3.949
3/21/2021,Sumatera Utara,183.66,0.313
3/22/2021,Sumatera Utara,194.713,11.053
3/23/2021,Sumatera Utara,208.745,14.032
3/24/2021,Sumatera Utara,221.673,12.928
3/25/2021,Sumatera Utara,235.053,13.38
3/26/2021,Sumatera Utara,244.037,8.984000000
3/27/2021,Sumatera Utara,247.322,3.285
3/28/2021,Sumatera Utara,247.835,0.513
3/29/2021,Sumatera Utara,258.926,11.091
3/30/2021,Sumatera Utara,268.796,9.870000000
3/31/2021,Sumatera Utara,278.483,9.687
4/1/2021,Sumatera Utara,286.383,7.9
4/2/2021,Sumatera Utara,286.744,0.361
4/3/2021,Sumatera Utara,289.292,2.548
4/4/2021,Sumatera Utara,289.331,0.039
4/5/2021,Sumatera Utara,295.561,6.23
4/6/2021,Sumatera Utara,302.302,6.741
4/7/2021,Sumatera Utara,312.187,9.885
4/8/2021,Sumatera Utara,321.658,9.471
4/9/2021,Sumatera Utara,329.731,8.073
4/10/2021,Sumatera Utara,335.807,6.076
4/11/2021,Sumatera Utara,336.801,0.994
4/12/2021,Sumatera Utara,347.527,10.726
4/13/2021,Sumatera Utara,354.96,7.433
4/14/2021,Sumatera Utara,362.54,7.58
4/15/2021,Sumatera Utara,370.454,7.914
4/16/2021,Sumatera Utara,376.08,5.626
4/17/2021,Sumatera Utara,378.891,2.811
4/18/2021,Sumatera Utara,379.264,0.373
4/19/2021,Sumatera Utara,387.513,8.249
4/20/2021,Sumatera Utara,395.27,7.757000000
4/21/2021,Sumatera Utara,401.926,6.656
4/22/2021,Sumatera Utara,409.11,7.184
4/23/2021,Sumatera Utara,413.86,4.75
4/24/2021,Sumatera Utara,416.28,2.42
4/25/2021,Sumatera Utara,416.926,0.646
4/26/2021,Sumatera Utara,422.337,5.411
4/27/2021,Sumatera Utara,427.776,5.439
4/28/2021,Sumatera Utara,434.332,6.556
4/29/2021,Sumatera Utara,441.422,7.09
4/30/2021,Sumatera Utara,447.418,5.996
5/1/2021,Sumatera Utara,449.788,2.37
5/2/2021,Sumatera Utara,450.677,0.889
5/3/2021,Sumatera Utara,458.994,8.317
5/4/2021,Sumatera Utara,467.595,8.601
5/5/2021,Sumatera Utara,476.019,8.424
5/6/2021,Sumatera Utara,486.178,10.159
5/7/2021,Sumatera Utara,496.63,10.452
5/8/2021,Sumatera Utara,502.456,5.826
5/9/2021,Sumatera Utara,503.138,0.682
5/10/2021,Sumatera Utara,512.018,8.88
5/11/2021,Sumatera Utara,518.982,6.964
5/12/2021,Sumatera Utara,520.825,1.843
5/13/2021,Sumatera Utara,520.903,0.078
5/14/2021,Sumatera Utara,520.936,0.033
5/15/2021,Sumatera Utara,521.619,0.683
5/16/2021,Sumatera Utara,521.666,0.047
5/17/2021,Sumatera Utara,525.896,4.23
5/18/2021,Sumatera Utara,534.633,8.737
5/19/2021,Sumatera Utara,545.087,10.454
5/20/2021,Sumatera Utara,557.704,12.617
5/21/2021,Sumatera Utara,568.4,10.696
5/22/2021,Sumatera Utara,571.299,2.899
5/23/2021,Sumatera Utara,571.36,0.061
5/24/2021,Sumatera Utara,582.586,11.226
5/25/2021,Sumatera Utara,594.424,11.838
5/26/2021,Sumatera Utara,595.03,0.606
5/27/2021,Sumatera Utara,607.28,12.25
5/28/2021,Sumatera Utara,617.718,10.438
5/29/2021,Sumatera Utara,622.898,5.18
5/30/2021,Sumatera Utara,623.025,0.127
5/31/2021,Sumatera Utara,632.113,9.088
6/1/2021,Sumatera Utara,632.679,0.566
6/2/2021,Sumatera Utara,642.134,9.455
6/3/2021,Sumatera Utara,655.427,13.293
6/4/2021,Sumatera Utara,669.458,14.031
6/5/2021,Sumatera Utara,675.358,5.9
6/6/2021,Sumatera Utara,675.476,0.118
6/7/2021,Sumatera Utara,691.459,15.983
6/8/2021,Sumatera Utara,711.394,19.935
6/9/2021,Sumatera Utara,733.247,21.853
6/10/2021,Sumatera Utara,757.368,24.121
6/11/2021,Sumatera Utara,772.238,14.87
6/12/2021,Sumatera Utara,777.249,5.011
6/13/2021,Sumatera Utara,778.213,0.964
6/14/2021,Sumatera Utara,794.663,16.45
6/15/2021,Sumatera Utara,815.803,21.14
6/16/2021,Sumatera Utara,843.625,27.822
6/17/2021,Sumatera Utara,872.78,29.155
6/18/2021,Sumatera Utara,895.963,23.183
6/19/2021,Sumatera Utara,906.143,10.18
6/20/2021,Sumatera Utara,906.345,0.202
6/21/2021,Sumatera Utara,924.943,18.598
6/22/2021,Sumatera Utara,946.182,21.239
6/23/2021,Sumatera Utara,974.228,28.046
6/24/2021,Sumatera Utara,1009.855,35.627
6/25/2021,Sumatera Utara,1047.117,37.262
6/26/2021,Sumatera Utara,1126.314,79.197
6/27/2021,Sumatera Utara,1134.83,8.516
6/28/2021,Sumatera Utara,1209.865,75.035
6/29/2021,Sumatera Utara,1284.291,74.426
6/30/2021,Sumatera Utara,1366.652,82.361
7/1/2021,Sumatera Utara,1414.212,47.56
7/2/2021,Sumatera Utara,1448.017,33.805
7/3/2021,Sumatera Utara,1475.727,27.71
7/4/2021,Sumatera Utara,1486.332,10.605
7/5/2021,Sumatera Utara,1523.475,37.143
7/6/2021,Sumatera Utara,1562.881,39.406
7/7/2021,Sumatera Utara,1602.117,39.236
7/8/2021,Sumatera Utara,1631.22,29.103
7/9/2021,Sumatera Utara,1660.47,29.25
7/10/2021,Sumatera Utara,1682.625,22.155
7/11/2021,Sumatera Utara,1691.802,9.177
7/12/2021,Sumatera Utara,1711.991,20.189
7/13/2021,Sumatera Utara,1734.304,22.313
7/14/2021,Sumatera Utara,1751.584,17.28
7/15/2021,Sumatera Utara,1766.93,15.346
7/16/2021,Sumatera Utara,1784.888,17.958
7/17/2021,Sumatera Utara,1803.238,18.35
7/18/2021,Sumatera Utara,1810.249,7.011
7/19/2021,Sumatera Utara,1816.805,6.556
7/20/2021,Sumatera Utara,1816.972,0.167
7/21/2021,Sumatera Utara,1824.109,7.137
7/22/2021,Sumatera Utara,1828.084,3.975
7/23/2021,Sumatera Utara,1837.497,9.413
7/24/2021,Sumatera Utara,1845.769,8.272
7/25/2021,Sumatera Utara,1849.382,3.613
7/26/2021,Sumatera Utara,1858.937,9.555
7/27/2021,Sumatera Utara,1867.314,8.377
7/28/2021,Sumatera Utara,1874.004,6.69
7/29/2021,Sumatera Utara,1878.905,4.901
7/30/2021,Sumatera Utara,1883.82,4.915
7/31/2021,Sumatera Utara,1887.319,3.499
8/1/2021,Sumatera Utara,1891.857,4.538
8/2/2021,Sumatera Utara,1902.391,10.534
8/3/2021,Sumatera Utara,1910.718,8.327
8/4/2021,Sumatera Utara,1948.64,37.922
8/5/2021,Sumatera Utara,1965.456,16.816
8/6/2021,Sumatera Utara,1990.726,25.27
8/7/2021,Sumatera Utara,2005.548,14.822
8/8/2021,Sumatera Utara,2009.557,4.009
8/9/2021,Sumatera Utara,2028.333,18.776
8/10/2021,Sumatera Utara,2042.686,14.353
8/11/2021,Sumatera Utara,2052.286,9.6
8/12/2021,Sumatera Utara,2071.934,19.648
8/13/2021,Sumatera Utara,2102.107,30.173
8/14/2021,Sumatera Utara,2143.205,41.098
8/15/2021,Sumatera Utara,2147.461,4.256
8/16/2021,Sumatera Utara,2178.838,31.377
8/17/2021,Sumatera Utara,2184.38,5.542
8/18/2021,Sumatera Utara,2217.034,32.654
8/19/2021,Sumatera Utara,2261.618,44.584
8/20/2021,Sumatera Utara,2299.783,38.165
8/21/2021,Sumatera Utara,2331.043,31.26
8/22/2021,Sumatera Utara,2335.582,4.539
8/23/2021,Sumatera Utara,2363.549,27.967
8/24/2021,Sumatera Utara,2391.788,28.239
8/25/2021,Sumatera Utara,2420.156,28.368
8/26/2021,Sumatera Utara,2452.58,32.424
8/27/2021,Sumatera Utara,2487.715,35.135
8/28/2021,Sumatera Utara,2513.33,25.615
8/29/2021,Sumatera Utara,2515.973,2.643
8/30/2021,Sumatera Utara,2546.44,30.467
8/31/2021,Sumatera Utara,2582.785,36.345
9/1/2021,Sumatera Utara,2615.278,32.493
9/2/2021,Sumatera Utara,2648.914,33.636
9/3/2021,Sumatera Utara,2676.299,27.385
9/4/2021,Sumatera Utara,2699.224,22.925
9/5/2021,Sumatera Utara,2700.573,1.349
9/6/2021,Sumatera Utara,2737.615,37.042
9/7/2021,Sumatera Utara,2779.99,42.375
9/8/2021,Sumatera Utara,2816.599,36.609
9/9/2021,Sumatera Utara,2847.462,30.863
9/10/2021,Sumatera Utara,2882.269,34.807
9/11/2021,Sumatera Utara,2906.849,24.58
9/12/2021,Sumatera Utara,2909.092,2.243
9/13/2021,Sumatera Utara,2948.923,39.831
9/14/2021,Sumatera Utara,2989.776,40.853
9/15/2021,Sumatera Utara,3029.897,40.121
9/16/2021,Sumatera Utara,3096.142,66.245
9/17/2021,Sumatera Utara,3170.534,74.392
9/18/2021,Sumatera Utara,3206.738,36.204
9/19/2021,Sumatera Utara,3209.782,3.044
9/20/2021,Sumatera Utara,3267.565,57.783
